Date,Clones,Views
2025-08-28,2,38
2025-08-29,2,0
2025-08-30,1,27
2025-08-31,0,9
2025-09-01,1,20
2025-09-02,2,298
2025-09-03,3,60
2025-09-04,0,34
2025-09-05,0,101
2025-09-06,1,25
2025-09-07,1,46
2025-09-08,2,92
2025-09-09,2,42
2025-09-10,0,32
2025-09-11,1,35
2025-09-12,2,87
2025-09-13,2,3
2025-09-14,0,7
2025-09-15,3,33
2025-09-16,5,76
2025-09-17,1,12
2025-09-18,0,40
2025-09-19,2,6
2025-09-20,4,7
2025-09-21,1,13
2025-09-22,4,23
2025-09-23,1,29
2025-09-24,2,39
2025-09-25,0,46
2025-09-26,1,22
2025-09-27,3,32
2025-09-28,3,12
2025-09-29,3,8
2025-09-30,1,34
2025-10-01,3,7
2025-10-02,1,23
2025-10-03,1,21
2025-10-04,1,13
2025-10-05,1,2
2025-10-06,3,23
2025-10-07,2,29
2025-10-08,2,16
2025-10-09,3,11
2025-10-10,7,15
2025-10-11,11,28
2025-10-12,0,3
2025-10-13,3,4
2025-10-14,5,50
2025-10-15,5,46
2025-10-16,8,103
2025-10-17,6,17
2025-10-18,2,76
2025-10-19,5,11
2025-10-20,9,83
2025-10-21,7,169
2025-10-22,7,166
2025-10-23,5,79
2025-10-24,11,41
2025-10-25,12,12
2025-10-26,9,12
2025-10-27,3,20
2025-10-28,6,45
2025-10-29,6,77
2025-10-30,2,23
2025-10-31,6,7
2025-11-01,3,2
2025-11-02,0,5
2025-11-03,5,14
2025-11-04,3,31
2025-11-05,8,18
2025-11-06,2,21
2025-11-07,6,72
2025-11-08,4,2
2025-11-09,2,10
2025-11-10,4,40
2025-11-11,3,46
2025-11-12,5,126
2025-11-13,5,71
2025-11-14,5,25
2025-11-15,4,2
2025-11-16,3,82
2025-11-17,2,144
2025-11-18,5,38
2025-11-19,5,25
2025-11-20,5,50
2025-11-21,5,10
2025-11-22,2,4
2025-11-23,4,1
2025-11-24,4,63
2025-11-25,2,23
2025-11-26,6,32
2025-11-27,6,25
2025-11-28,4,4
2025-11-29,2,10
2025-11-30,5,13
