Date,Clones,Views
2025-02-13,1,1
2025-02-17,1,0
2025-02-19,1,0
2025-02-22,0,3
2025-02-23,3,5
2025-02-24,1,26
2025-02-25,3,50
2025-02-26,0,2
2025-02-27,4,10
2025-02-28,0,15
2025-03-01,3,5
2025-03-02,1,39
2025-03-03,4,7
2025-03-04,2,73
2025-03-05,0,6
2025-03-06,4,15
2025-03-07,0,11
2025-03-08,4,61
2025-03-09,0,7
2025-03-10,3,60
2025-03-11,0,15
2025-03-12,12,84
2025-03-13,2,63
2025-03-14,6,46
2025-03-15,3,13
2025-03-16,5,6
2025-03-17,3,14
2025-03-18,5,8
2025-03-19,3,34
2025-03-20,7,17
2025-03-21,5,16
2025-03-22,6,24
2025-03-23,3,7
2025-03-24,8,75
2025-03-25,2,9
2025-03-26,7,52
2025-03-27,1,24
2025-03-28,7,57
2025-03-29,1,8
2025-03-30,5,6
2025-03-31,2,33
2025-04-01,9,26
2025-04-02,0,9
2025-04-03,6,29
2025-04-04,0,10
2025-04-05,7,7
2025-04-06,4,52
2025-04-07,7,46
2025-04-08,1,37
2025-04-09,9,9
2025-04-10,0,14
2025-04-11,7,21
2025-04-12,0,5
2025-04-13,10,8
2025-04-14,2,16
2025-04-15,9,39
2025-04-16,2,30
2025-04-17,6,26
2025-04-18,1,94
2025-04-19,8,12
2025-04-20,2,9
2025-04-21,6,3
2025-04-22,1,10
2025-04-23,6,38
2025-04-24,0,53
2025-04-25,7,19
2025-04-26,1,31
2025-04-27,7,22
2025-04-28,1,61
2025-04-29,5,50
2025-04-30,2,41
2025-05-01,6,5
2025-05-02,1,25
2025-05-03,5,3
2025-05-04,0,59
2025-05-05,5,11
2025-05-06,1,8
2025-05-07,6,85
2025-05-08,0,31
2025-05-09,7,58
2025-05-10,1,27
2025-05-11,8,29
2025-05-12,0,52
2025-05-13,9,29
2025-05-14,7,58
2025-05-15,7,109
2025-05-16,0,34
2025-05-17,7,8
2025-05-18,1,2
2025-05-19,7,17
2025-05-20,1,18
2025-05-21,6,23
2025-05-22,0,60
2025-05-23,8,12
2025-05-24,3,1
2025-05-25,5,15
2025-05-26,1,44
2025-05-27,6,9
2025-05-28,1,60
2025-05-29,1,24
2025-05-30,1,35
2025-05-31,1,13
2025-06-01,0,1
2025-06-02,2,17
2025-06-03,7,13
2025-06-04,1,49
2025-06-05,5,35
2025-06-06,0,46
2025-06-07,7,51
2025-06-08,1,14
2025-06-09,5,37
2025-06-10,1,10
2025-06-11,7,53
2025-06-12,1,57
2025-06-13,7,12
2025-06-14,2,30
2025-06-15,8,41
2025-06-16,7,40
2025-06-17,9,38
2025-06-18,0,22
2025-06-19,5,12
2025-06-20,2,53
2025-06-21,6,2
2025-06-22,1,0
2025-06-23,6,35
2025-06-24,2,22
2025-06-25,5,108
2025-06-26,1,53
2025-06-27,7,4
2025-06-28,0,28
2025-06-29,7,29
2025-06-30,4,138
2025-07-01,6,19
2025-07-02,0,33
2025-07-03,7,27
2025-07-04,2,10
2025-07-05,6,1
2025-07-06,1,0
2025-07-07,6,4
2025-07-08,0,37
2025-07-09,5,14
2025-07-10,3,48
2025-07-11,6,18
2025-07-12,3,3
2025-07-13,6,18
2025-07-14,1,60
2025-07-15,6,18
2025-07-16,2,28
2025-07-17,7,27
2025-07-18,0,4
2025-07-19,8,9
2025-07-20,0,5
2025-07-21,9,8
2025-07-22,1,13
2025-07-23,5,7
2025-07-24,2,8
2025-07-25,5,6
2025-07-26,3,8
2025-07-27,5,15
2025-07-28,1,15
2025-07-29,7,36
2025-07-30,1,40
2025-07-31,5,71
2025-08-01,0,8
2025-08-02,7,0
2025-08-03,1,12
2025-08-04,1,25
2025-08-05,1,49
2025-08-06,1,58
2025-08-07,6,7
2025-08-08,2,8
2025-08-09,6,1
2025-08-10,1,3
2025-08-11,6,18
2025-08-12,2,114
2025-08-13,12,16
2025-08-14,1,6
2025-08-15,5,36
2025-08-16,4,23
2025-08-17,7,9
2025-08-18,2,26
2025-08-19,6,16
2025-08-20,0,58
2025-08-21,1,8
2025-08-22,0,14
2025-08-23,1,37
2025-08-24,0,14
2025-08-25,7,80
2025-08-26,0,19
2025-08-27,0,34
